Ticker,Number Of Shares to Buy,Market Cap
HRB,510.0,6510790656.0
HRL,451.0,25122764800.0
HSIC,299.0,9153513472.0
HST,1250.0,12083697664.0
HSY,92.0,45325524992.0
HUM,41.0,61482397696.0
HWM,627.0,13733224448.0
IBM,166.0,111565000000.0
ICE,223.0,52213030912.0
IDXX,59.0,28044083200.0
IEX,100.0,15784967168.0
IFF,225.0,24273504256.0
ILMN,95.0,32586932224.0
INCY,301.0,15336616960.0
INTC,756.0,112451000000.0
INTU,50.0,115336000000.0
IP,636.0,11668152320.0
IPG,768.0,10297968640.0
IPGP,231.0,4546585600.0
IQV,108.0,35684577280.0
IR,445.0,18788233216.0
IRM,444.0,13758120960.0
ISRG,103.0,68998463488.0
IT,69.0,22578284544.0
ITW,108.0,59168768000.0
IVZ,1371.0,6883151360.0
J,182.0,14376955904.0
JBHT,125.0,16536134656.0
JCI,392.0,36500041728.0
JKHY,111.0,13735616512.0
JNJ,126.0,433451000000.0
JNPR,758.0,8776578048.0
JPM,189.0,327953000000.0
K,291.0,24399706112.0
KEY,1238.0,15394776064.0
KEYS,124.0,29844627456.0
KHC,617.0,41897791488.0
KIM,1083.0,11850115072.0
KLAC,63.0,43852316672.0
KMB,182.0,38934568960.0
KMI,1181.0,39343943680.0
KMX,313.0,10625719296.0
KO,371.0,244277000000.0
KR,469.0,31724521472.0
KSS,757.0,3151558912.0
L,396.0,12176041984.0
LDOS,226.0,12668272640.0
LEG,595.0,4673494016.0
LEN,261.0,22760824832.0
LH,97.0,18807658496.0
LHX,94.0,42602831872.0
LIN,73.0,141805000000.0
LKQ,416.0,13310021632.0
LLY,63.0,311587000000.0
LMT,51.0,106504000000.0
LNC,431.0,7937294336.0
LNT,394.0,13334495232.0
LOW,105.0,118074000000.0
LRCX,52.0,54520541184.0
LUV,634.0,19242584064.0
LVS,490.0,30402416640.0
LW,254.0,11266367488.0
LYB,258.0,25244317696.0
LYV,259.0,18482849792.0
MA,68.0,290488000000.0
MAA,136.0,18606469120.0
MAR,142.0,47686279168.0
MAS,419.0,11307572224.0
MCD,87.0,170805000000.0
MCHP,310.0,36502614016.0
MCK,59.0,50755375104.0
MCO,79.0,46058196992.0
MDLZ,365.0,78136188928.0
MDT,245.0,111343000000.0
MET,320.0,51661455360.0
MGM,623.0,12307045376.0
MHK,211.0,6157326848.0
MKC,285.0,19737731072.0
MKTX,87.0,8807759872.0
MLM,62.0,20864137216.0
MMC,131.0,75744174080.0
MMM,181.0,63590653952.0
MNST,226.0,46399238144.0
MO,487.0,75886551040.0
MOS,409.0,17732913152.0
MPC,194.0,53243068416.0
MRK,236.0,223258000000.0
MRO,769.0,16022863872.0
MS,251.0,143664000000.0
MSCI,46.0,35870478336.0
MSFT,83.0,1841130000000.0
MSI,88.0,38949289984.0
MTB,112.0,32739717120.0
MTD,17.0,25057802240.0
MU,382.0,57755258880.0
NCLH,1582.0,5484378112.0
NDAQ,350.0,29124788224.0
NEE,255.0,155045000000.0
NEM,476.0,35231498240.0
NFLX,88.0,106230000000.0
NI,799.0,10806468608.0
NKE,229.0,138410000000.0
NLOK,992.0,13610358784.0
NLSN,749.0,9985353728.0
NOC,43.0,73264087040.0
NOV,1134.0,6803330048.0
NOW,49.0,82163499008.0
NRG,504.0,9257553920.0
NSC,94.0,50043113472.0
NTAP,311.0,13850698752.0
NTRS,231.0,18769418240.0
NUE,177.0,31037882368.0
NVDA,158.0,322340000000.0
NVR,4.0,13543899136.0
NWL,1443.0,5986860032.0
NWS,1273.0,9407525888.0
NWSA,1296.0,9425430528.0
O,351.0,37110202368.0
ODFL,76.0,30179538944.0
OKE,370.0,23716057088.0
OMC,315.0,13447944192.0
ORCL,313.0,175525000000.0
ORLY,28.0,45964337152.0
OTIS,310.0,28168151040.0
OXY,308.0,61180301312.0
PAYC,59.0,20950079488.0
PAYX,182.0,40739872768.0
PCAR,230.0,29787066368.0
PEAK,898.0,12419249152.0
PEG,357.0,29482625024.0
PEP,126.0,228652000000.0
PFE,474.0,248234000000.0
PFG,266.0,19477870592.0
PG,161.0,308660000000.0
PGR,171.0,71908794368.0
PH,79.0,33173125120.0
PHM,512.0,9389558784.0
PKG,178.0,11028499456.0
PKI,159.0,16115017728.0
PLD,198.0,77517570048.0
PM,240.0,134492000000.0
PNC,131.0,63472164864.0
PNR,492.0,6854594048.0
PNW,320.0,7555860480.0
PPG,174.0,26884366336.0
PPL,800.0,19505223680.0
PRGO,538.0,5038751744.0
PRU,223.0,33373437952.0
PSA,71.0,52040331264.0
PSX,225.0,42419077120.0
PVH,413.0,3194475520.0
PWR,155.0,19300954112.0
PXD,83.0,53534019584.0
PYPL,222.0,105922000000.0
QCOM,167.0,136108000000.0
QRVO,239.0,8760987648.0
RCL,481.0,10788996096.0
RE,76.0,10613036032.0
REG,375.0,9508847616.0
REGN,28.0,74582048768.0
RF,988.0,19809196032.0
RHI,262.0,8703534080.0
RJF,193.0,22879608832.0
RL,222.0,6119775232.0
RMD,90.0,33395148800.0
ROK,89.0,26460010496.0
ROL,570.0,18086475776.0
ROP,54.0,39981142016.0
ROST,232.0,30697721856.0
RSG,148.0,44628692992.0
RTX,245.0,125379000000.0
SBAC,73.0,31657336832.0
SBUX,232.0,100780000000.0
SCHW,275.0,141577000000.0
SEE,454.0,6716749312.0
SHW,96.0,56701468672.0
SIVB,57.0,22087917568.0
SJM,148.0,14777418752.0
SLB,503.0,54920765440.0
SLG,527.0,2692544000.0
SNA,97.0,11304513536.0
SNPS,65.0,49379549184.0
SO,304.0,74399367168.0
SPG,218.0,35455115264.0
SPGI,65.0,103763000000.0
SRE,136.0,49235095552.0
STE,120.0,17455618048.0
STT,319.0,23836416000.0
STX,364.0,11760069632.0
STZ,88.0,44356038656.0
SWK,254.0,12159344640.0
SWKS,224.0,14164140032.0
SYF,658.0,14980295680.0
SYK,96.0,80936099840.0
SYY,277.0,37735563264.0
T,1313.0,109725000000.0
TAP,431.0,10570800128.0
TDG,37.0,30219304960.0
TDY,59.0,16679345152.0
TEL,176.0,37607755776.0
TFC,456.0,59586879488.0
TFX,101.0,9604798464.0
TGT,133.0,69873156096.0
TJX,317.0,75294089216.0
TMO,38.0,210418000000.0
TMUS,148.0,177923000000.0
TPR,656.0,7542278144.0
TROW,187.0,25169170432.0
TRV,130.0,38051950592.0
TSCO,103.0,21813164032.0
TSN,313.0,24141760512.0
TT,136.0,35505991680.0
TTWO,178.0,19371161600.0
TWTR,407.0,36693549056.0
TXN,124.0,149373000000.0
TXT,330.0,13252480000.0
TYL,56.0,14964349952.0
UA,3127.0,3124542976.0
UAA,2796.0,3128022272.0
UAL,590.0,11387062272.0
UDR,509.0,22853734400.0
UHS,220.0,6946829312.0
ULTA,52.0,20559286272.0
UNH,39.0,485754000000.0
UNM,509.0,8163999744.0
UNP,104.0,126869000000.0
UPS,124.0,145211000000.0
URI,71.0,20364351488.0
USB,495.0,62967357440.0
V,111.0,388365000000.0
VFC,655.0,12175433728.0
VLO,177.0,45964476416.0
VMC,127.0,21773836288.0
VNO,931.0,4914603008.0
VRSK,116.0,28109182976.0
VRSN,113.0,19516923904.0
VRTX,69.0,76422217728.0
VTR,524.0,16180381696.0
VZ,530.0,165364000000.0
WAB,237.0,15794025472.0
WAT,71.0,17133488128.0
WBA,630.0,28529123328.0
WDC,562.0,11098458112.0
WEC,231.0,29086261248.0
WELL,335.0,28940081152.0
WFC,483.0,163215000000.0
WHR,144.0,7914031104.0
WM,125.0,69018845184.0
WMB,686.0,37128609792.0
WMT,157.0,362853000000.0
WRB,307.0,17988161536.0
WRK,638.0,8354960896.0
WST,80.0,19178061824.0
WU,1463.0,5542783488.0
WY,701.0,21979953152.0
WYNN,289.0,7883309056.0
XEL,325.0,36021268480.0
XOM,211.0,393342000000.0
XRAY,691.0,6419392512.0
XRX,1405.0,2215316736.0
XYL,225.0,16644312064.0
YUM,186.0,31552864256.0
ZBH,185.0,23283726336.0
ZBRA,74.0,14367036416.0
ZION,390.0,8137472512.0
ZTS,135.0,71789117440.0
